test_id,payload,expected_status
TC_COUPON_01,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":1}",200
TC_COUPON_02,"{""code"":""VIP100"",""total_amount"":400000,""user_id"":2}",200
TC_COUPON_03,"{""code"":""SAVE10"",""total_amount"":300000,""user_id"":3}",200
TC_COUPON_04,"{""code"":""BIGBUY"",""total_amount"":500000,""user_id"":4}",200
TC_COUPON_05,"{""code"":""NOTFOUND"",""total_amount"":500000,""user_id"":5}",400
TC_COUPON_06,"{""code"":""EXPIRED"",""total_amount"":500000,""user_id"":5}",400
TC_COUPON_07,"{""code"":""SAVE10"",""total_amount"":299999,""user_id"":5}",400
TC_COUPON_08,"{""code"":""BIGBUY"",""total_amount"":499999,""user_id"":6}",400
TC_COUPON_09,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":99}",400
TC_COUPON_10,"{""code"":""VIP100"",""total_amount"":300000,""user_id"":7}",200
TC_COUPON_11,"{""code"":""VIP100"",""total_amount"":400000,""user_id"":7}",400
TC_COUPON_12,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":8}",401
TC_COUPON_13,"{""code"":""EXPIRED"",""total_amount"":50000,""user_id"":8}",400
TC_COUPON_14,"{""code"":""INVALID"",""total_amount"":10000,""user_id"":9}",400
TC_COUPON_15,"{""code"":""SAVE10"",""total_amount"":200000,""user_id"":99}",400
TC_COUPON_16,"{""code"":""SAVE10"",""total_amount"":0,""user_id"":15}",400
TC_COUPON_17,"{""code"":""SAVE10"",""total_amount"":-500000,""user_id"":15}",400
TC_COUPON_18,"{""code"":""SAVE10"",""total_amount"":999999999999999,""user_id"":15}",400
TC_COUPON_19,"{""total_amount"":500000,""user_id"":15}",400
TC_COUPON_20,"{""code"":""SAVE10"",""user_id"":15}",400
TC_COUPON_21,"{""code"":""SAVE10"",""total_amount"":500000}",400
TC_COUPON_22,{},400
TC_COUPON_23,"{""code"":""SAVE10"",""total_amount"":""500000"",""user_id"":15}",400
TC_COUPON_24,"{""code"":""SAVE10"",""total_amount"":true,""user_id"":15}",400
TC_COUPON_25,"{""code"":""SAVE10"",""total_amount"":null,""user_id"":15}",400
TC_COUPON_26,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":""15""}",400
TC_COUPON_27,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":1.5}",400
TC_COUPON_28,"{""code"":12345,""total_amount"":500000,""user_id"":15}",400
TC_COUPON_29,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":2}",403
TC_COUPON_30,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":15,""discount_amount"":999999}",400
TC_COUPON_31,"{""code"":""' OR 1=1 --"",""total_amount"":500000,""user_id"":15}",400
TC_COUPON_32,"{""code"":""<script>alert('XSS')</script>"",""total_amount"":500000,""user_id"":15}",400
TC_COUPON_33,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":15}",429
TC_COUPON_34,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":15}",401
TC_COUPON_35,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":15}",401
TC_COUPON_36,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":10}",400
TC_COUPON_37,"{""code"":""SAVE10'; WAITFOR DELAY '0:0:5'--"",""total_amount"":500000,""user_id"":11}",400
TC_COUPON_38,"{""code"":""save10"",""total_amount"":500000,""user_id"":12}",200
TC_COUPON_39,"{""code"":""SAVE10"",""total_amount"":500000.99,""user_id"":13}",200
TC_COUPON_40,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":1}",400
